payee_requested_amount,payee_settlement_amount,txn_type,txn_subtype,txn_status,hour,day_of_week,month,dt_time_txn_compl,payer_psp,payee_psp,remitter_bank,beneficiary_bank,payer_state,payee_state,beneficiary_mcc_code,remitter_mcc_code,txn_type_encoded,txn_subtype_encoded,txn_status_encoded,payer_psp_encoded,payee_psp_encoded,remitter_bank_encoded,beneficiary_bank_encoded,payer_state_encoded,payee_state_encoded,fraud,gpt_prediction,correct
30568.0,39738.0,Reversal,Transaction Error Correction,Successful,6,0,10,2020-10-05 06:58:00,Axis Pay,SBI POS,Canara Bank,United Bank of India,Rajasthan,Bihar,3503,7379,4,14,7,2,12,10,55,16,1,0,0,True
21704.0,28215.0,Reversal,Fraudulent Transaction,Successful,8,0,11,2021-11-08 08:26:00,Rupay,Square (for international transactions),AU Small Finance Bank,Indian Overseas Bank,Gujarat,Bihar,3524,7395,4,6,7,12,13,0,27,4,1,0,0,True
54422.0,54422.0,Payment,Merchant Payment,Successful,16,3,2,2022-02-03 16:40:00,ICICI iMobile,CCAvenue,Bank of Maharashtra,Nainital Bank,Odisha,Madhya Pradesh,4722,8241,2,10,7,6,2,7,37,13,11,0,0,True
59078.0,59078.0,Fee,Account Maintenance Fee,Failed,6,5,12,2020-12-12 06:52:00,PayPal (for international transactions),BillDesk,Allahabad Bank,Allahabad Bank,Kerala,Tamil Nadu,5971,6051,1,1,2,9,1,1,1,10,17,1,0,False
59218.0,59218.0,Reversal,Transaction Error Correction,Successful,6,0,11,2021-11-15 06:12:00,PhonePe,PhonePe for Merchants,North East Small Finance Bank,Union Bank of India,Odisha,Bihar,5965,6381,4,14,7,11,9,38,54,13,1,0,0,True
23900.0,31070.0,Reversal,Transaction Error Correction,Successful,12,6,11,2022-11-13 12:58:00,BHIM UPI,Stripe (for international transactions),Vijaya Bank,Vijaya Bank,Punjab,West Bengal,4111,5131,4,14,7,3,14,57,57,15,21,1,0,False
27660.0,27660.0,Transfer,Intra-bank Transfer,Successful,2,1,10,2023-10-10 02:26:00,BHIM UPI,Square (for international transactions),Canara Bank,Karur Vysya Bank,Odisha,Tamil Nadu,5932,8351,5,9,7,3,13,10,32,13,17,0,0,True
32956.0,32956.0,Transfer,Intra-bank Transfer,Successful,10,0,4,2022-04-18 10:56:00,BHIM UPI,CCAvenue,IDFC First Bank,Jana Small Finance Bank,Odisha,West Bengal,1711,5631,5,9,7,3,2,25,30,13,21,0,0,True
10986.0,10986.0,Deposit,Cash Deposit,Successful,22,1,4,2022-04-26 22:50:00,BHIM UPI,BillDesk,Equitas Small Finance Bank,Madhya Bihar Gramin Bank,West Bengal,Jharkhand,5732,5065,0,4,7,3,1,19,35,21,8,0,0,True
79438.0,79438.0,Payment,Peer-to-Peer (P2P),Successful,4,1,8,2022-08-16 04:30:00,Apple Pay (for international transactions),ICICI Merchant Services,Utkarsh Small Finance Bank,Capital Small Finance Bank,Jharkhand,Jharkhand,7012,5074,2,11,7,1,5,56,11,8,8,0,0,True
